product_id,product,category,warehouse,stock_quantity,reorder_level,reorder_quantity,unit_cost,inventory_value,lead_time_days,safety_stock,stock_status
P0078,Face Wash 2,Beauty,WH-East,9,10,17,1831.53,16483.77,3,7,Low Stock
P0079,Face Wash 3,Beauty,WH-East,6,10,25,1614.67,9688.02,6,4,Low Stock
P0080,Face Wash 4,Beauty,WH-East,29,18,24,1658.44,48094.76,9,7,Healthy
P0083,Shampoo 3,Beauty,WH-East,20,14,26,1559.83,31196.6,10,3,Healthy
P0084,Shampoo 4,Beauty,WH-East,8,8,22,1822.75,14582.0,2,6,Low Stock
P0087,Moisturizer 3,Beauty,WH-East,10,12,16,1722.1,17221.0,6,6,Low Stock
P0090,Perfume 2,Beauty,WH-East,19,14,22,1748.81,33227.39,9,4,Healthy
P0092,Perfume 4,Beauty,WH-East,14,7,19,1701.72,23824.08,4,3,Healthy
P0095,Sunscreen 3,Beauty,WH-East,21,12,20,1679.4,35267.4,9,3,Healthy
P0096,Sunscreen 4,Beauty,WH-East,29,14,41,1905.32,55254.28,6,6,Healthy
P0098,Programming Book 2,Books,WH-East,31,15,27,883.25,27380.75,9,6,Healthy
P0099,Programming Book 3,Books,WH-East,9,15,35,984.34,8859.06,9,6,Low Stock
P0100,Programming Book 4,Books,WH-East,12,9,23,918.9,11026.8,6,3,Healthy
P0106,Business Book 2,Books,WH-East,6,5,19,884.53,5307.18,2,3,Healthy
P0107,Business Book 3,Books,WH-East,15,13,25,890.11,13351.65,5,7,Healthy
P0111,Fiction Book 3,Books,WH-East,14,9,33,913.32,12786.48,2,6,Healthy
P0112,Fiction Book 4,Books,WH-East,11,10,16,987.8,10865.8,6,4,Healthy
P0001,Laptop 1,Electronics,WH-East,33,17,21,22689.0,748737.0,7,8,Healthy
P0002,Laptop 2,Electronics,WH-East,26,14,33,22922.26,595978.76,6,7,Healthy
P0003,Laptop 3,Electronics,WH-East,7,10,33,24469.24,171284.68,4,5,Low Stock
P0004,Laptop 4,Electronics,WH-East,26,13,37,22448.77,583668.02,6,6,Healthy
P0007,Smartphone 3,Electronics,WH-East,13,16,19,23029.8,299387.4,10,6,Low Stock
P0009,Tablet 1,Electronics,WH-East,20,12,22,25332.72,506654.4,7,5,Healthy
P0012,Tablet 4,Electronics,WH-East,8,9,28,22511.76,180094.08,3,5,Low Stock
P0015,Monitor 3,Electronics,WH-East,20,11,19,22628.7,452574.0,4,6,Healthy
P0022,Mouse 2,Electronics,WH-East,34,16,26,23818.73,809836.82,6,8,Healthy
P0024,Mouse 4,Electronics,WH-East,22,12,23,23432.03,515504.66,6,6,Healthy
P0028,Headphones 4,Electronics,WH-East,16,14,36,22421.68,358746.88,5,8,Healthy
P0053,T-Shirt 1,Fashion,WH-East,6,9,28,2955.69,17734.14,3,6,Low Stock
P0055,T-Shirt 3,Fashion,WH-East,18,10,37,2972.12,53498.16,3,6,Healthy
P0058,Jeans 2,Fashion,WH-East,17,10,32,2734.77,46491.09,3,6,Healthy
P0061,Sneakers 1,Fashion,WH-East,10,16,21,2930.44,29304.4,9,7,Low Stock
P0063,Sneakers 3,Fashion,WH-East,25,13,30,2779.6,69490.0,8,4,Healthy
P0064,Sneakers 4,Fashion,WH-East,18,8,38,2813.17,50637.06,3,4,Healthy
P0065,Jacket 1,Fashion,WH-East,9,10,34,2967.34,26706.06,6,3,Low Stock
P0067,Jacket 3,Fashion,WH-East,17,14,33,2920.06,49641.02,8,5,Healthy
P0069,Backpack 1,Fashion,WH-East,8,9,16,2658.75,21270.0,5,4,Low Stock
P0074,Watch 2,Fashion,WH-East,12,9,16,2814.27,33771.24,6,3,Healthy
P0075,Watch 3,Fashion,WH-East,9,17,27,2923.56,26312.04,9,7,Low Stock
P0030,Air Purifier 2,Home,WH-East,29,14,17,5991.87,173764.23,8,5,Healthy
P0031,Air Purifier 3,Home,WH-East,28,15,34,6542.88,183200.64,9,5,Healthy
P0033,Mixer 1,Home,WH-East,9,5,18,6459.07,58131.63,2,3,Healthy
P0034,Mixer 2,Home,WH-East,19,8,20,6367.82,120988.58,4,3,Healthy
P0036,Mixer 4,Home,WH-East,12,12,24,6245.27,74943.24,6,4,Low Stock
P0039,Vacuum Cleaner 3,Home,WH-East,11,7,24,5925.48,65180.28,4,3,Healthy
P0040,Vacuum Cleaner 4,Home,WH-East,28,12,25,6822.6,191032.8,4,7,Healthy
P0043,Coffee Maker 3,Home,WH-East,28,13,35,6248.74,174964.72,5,7,Healthy
P0045,Lamp 1,Home,WH-East,9,13,29,6078.77,54708.93,9,3,Low Stock
P0047,Lamp 3,Home,WH-East,11,13,18,6241.39,68655.29,9,4,Low Stock
P0049,Storage Box 1,Home,WH-East,11,15,35,6076.83,66845.13,8,7,Low Stock
P0051,Storage Box 3,Home,WH-East,28,12,29,6408.86,179448.08,9,3,Healthy
P0052,Storage Box 4,Home,WH-East,11,12,18,5925.8,65183.8,9,3,Low Stock
P0113,Yoga Mat 1,Sports,WH-East,8,9,35,4146.2,33169.6,4,5,Low Stock
P0114,Yoga Mat 2,Sports,WH-East,12,14,34,4095.47,49145.64,9,5,Low Stock
P0115,Yoga Mat 3,Sports,WH-East,20,11,31,4239.23,84784.6,5,6,Healthy
P0117,Running Shoes 1,Sports,WH-East,31,13,22,4337.98,134477.38,7,5,Healthy
P0118,Running Shoes 2,Sports,WH-East,14,9,35,4057.7,56807.8,4,5,Healthy
P0122,Football 2,Sports,WH-East,9,11,22,3883.37,34950.33,4,6,Low Stock
P0125,Cricket Bat 1,Sports,WH-East,27,12,35,4421.6,119383.2,5,7,Healthy
P0126,Cricket Bat 2,Sports,WH-East,14,14,37,3892.53,54495.42,7,5,Low Stock
P0127,Cricket Bat 3,Sports,WH-East,13,11,33,4606.5,59884.5,7,3,Healthy
P0130,Dumbbells 2,Sports,WH-East,10,11,24,4319.3,43193.0,4,7,Low Stock
P0132,Dumbbells 4,Sports,WH-East,14,10,17,4269.83,59777.62,4,5,Healthy
